business_name,review_count,rating,address,price_range,url
Lakeshore Crossing Apartments,3,5.0,"100 Lakeshore Dr NE Atlanta, GA 30324",0,https://www.yelp.com/biz/lakeshore-crossing-apartments-atlanta?osq=Apartments
Allure in Buckhead Village,16,2.0,"360 Pharr Rd Atlanta, GA 30305",0,https://www.yelp.com/biz/allure-in-buckhead-village-atlanta?osq=Apartments
Morningside Atlanta by Windsor,1,5.0,"1845 Piedmont Ave NE Atlanta, GA 30324",0,https://www.yelp.com/biz/morningside-atlanta-by-windsor-atlanta?osq=Apartments
Gables Midtown by Gables Residential,49,3.0,"1925 Monroe Dr Atlanta, GA 30324",0,https://www.yelp.com/biz/gables-midtown-by-gables-residential-atlanta?osq=Apartments
Modera Buckhead,,0,"3005 Peachtree Rd NE Atlanta, GA 30305",0,https://www.yelp.com/biz/modera-buckhead-atlanta?osq=Apartments
Marquis Midtown West,8,4.5,"1224 Defoor Village Ct NW Atlanta, GA 30318",0,https://www.yelp.com/biz/marquis-midtown-west-atlanta?osq=Apartments
Residences at Chastain,3,5.0,"4011 Roswell Rd Atlanta, GA 30342",0,https://www.yelp.com/biz/residences-at-chastain-atlanta-3?osq=Apartments
Alexan Buckhead Village,5,4.0,"361 Pharr Rd NE Atlanta, GA 30305",0,https://www.yelp.com/biz/alexan-buckhead-village-atlanta-2?osq=Apartments
Kingsboro Luxury Apartments,7,3.5,"3443 Kingsboro Rd NE Atlanta, GA 30326",0,https://www.yelp.com/biz/kingsboro-luxury-apartments-atlanta?osq=Apartments
Lakeshore Crossing Apartments,3,5.0,"100 Lakeshore Dr NE Atlanta, GA 30324",0,https://www.yelp.com/biz/lakeshore-crossing-apartments-atlanta?osq=Apartments
Allure in Buckhead Village,16,2.0,"360 Pharr Rd Atlanta, GA 30305",0,https://www.yelp.com/biz/allure-in-buckhead-village-atlanta?osq=Apartments
Morningside Atlanta by Windsor,1,5.0,"1845 Piedmont Ave NE Atlanta, GA 30324",0,https://www.yelp.com/biz/morningside-atlanta-by-windsor-atlanta?osq=Apartments
Gables Midtown by Gables Residential,49,3.0,"1925 Monroe Dr Atlanta, GA 30324",0,https://www.yelp.com/biz/gables-midtown-by-gables-residential-atlanta?osq=Apartments
Modera Buckhead,,0,"3005 Peachtree Rd NE Atlanta, GA 30305",0,https://www.yelp.com/biz/modera-buckhead-atlanta?osq=Apartments
Marquis Midtown West,8,4.5,"1224 Defoor Village Ct NW Atlanta, GA 30318",0,https://www.yelp.com/biz/marquis-midtown-west-atlanta?osq=Apartments
Residences at Chastain,3,5.0,"4011 Roswell Rd Atlanta, GA 30342",0,https://www.yelp.com/biz/residences-at-chastain-atlanta-3?osq=Apartments
2460 Peachtree,9,3.5,"2460 Peachtree Rd NW Atlanta, GA 30305",0,https://www.yelp.com/biz/2460-peachtree-atlanta?osq=Apartments
Kingsboro Luxury Apartments,7,3.5,"3443 Kingsboro Rd NE Atlanta, GA 30326",0,https://www.yelp.com/biz/kingsboro-luxury-apartments-atlanta?osq=Apartments
Lakeshore Crossing Apartments,3,5.0,"100 Lakeshore Dr NE Atlanta, GA 30324",0,https://www.yelp.com/biz/lakeshore-crossing-apartments-atlanta?osq=Apartments
Allure in Buckhead Village,16,2.0,"360 Pharr Rd Atlanta, GA 30305",0,https://www.yelp.com/biz/allure-in-buckhead-village-atlanta?osq=Apartments
Morningside Atlanta by Windsor,1,5.0,"1845 Piedmont Ave NE Atlanta, GA 30324",0,https://www.yelp.com/biz/morningside-atlanta-by-windsor-atlanta?osq=Apartments
Gables Midtown by Gables Residential,49,3.0,"1925 Monroe Dr Atlanta, GA 30324",0,https://www.yelp.com/biz/gables-midtown-by-gables-residential-atlanta?osq=Apartments
Modera Buckhead,,0,"3005 Peachtree Rd NE Atlanta, GA 30305",0,https://www.yelp.com/biz/modera-buckhead-atlanta?osq=Apartments
Marquis Midtown West,8,4.5,"1224 Defoor Village Ct NW Atlanta, GA 30318",0,https://www.yelp.com/biz/marquis-midtown-west-atlanta?osq=Apartments
Residences at Chastain,3,5.0,"4011 Roswell Rd Atlanta, GA 30342",0,https://www.yelp.com/biz/residences-at-chastain-atlanta-3?osq=Apartments
2460 Peachtree,9,3.5,"2460 Peachtree Rd NW Atlanta, GA 30305",0,https://www.yelp.com/biz/2460-peachtree-atlanta?osq=Apartments
Post Lindbergh,5,3.5,"485 Lindbergh Pl Atlanta, GA 30324",0,https://www.yelp.com/biz/post-lindbergh-atlanta?osq=Apartments
Allure in Buckhead Village,16,2.0,"360 Pharr Rd Atlanta, GA 30305",0,https://www.yelp.com/biz/allure-in-buckhead-village-atlanta?osq=Apartments
Morningside Atlanta by Windsor,1,5.0,"1845 Piedmont Ave NE Atlanta, GA 30324",0,https://www.yelp.com/biz/morningside-atlanta-by-windsor-atlanta?osq=Apartments
Gables Midtown by Gables Residential,49,3.0,"1925 Monroe Dr Atlanta, GA 30324",0,https://www.yelp.com/biz/gables-midtown-by-gables-residential-atlanta?osq=Apartments
Modera Buckhead,,0,"3005 Peachtree Rd NE Atlanta, GA 30305",0,https://www.yelp.com/biz/modera-buckhead-atlanta?osq=Apartments
Marquis Midtown West,8,4.5,"1224 Defoor Village Ct NW Atlanta, GA 30318",0,https://www.yelp.com/biz/marquis-midtown-west-atlanta?osq=Apartments
Residences at Chastain,3,5.0,"4011 Roswell Rd Atlanta, GA 30342",0,https://www.yelp.com/biz/residences-at-chastain-atlanta-3?osq=Apartments
2460 Peachtree,9,3.5,"2460 Peachtree Rd NW Atlanta, GA 30305",0,https://www.yelp.com/biz/2460-peachtree-atlanta?osq=Apartments
Post Lindbergh,5,3.5,"485 Lindbergh Pl Atlanta, GA 30324",0,https://www.yelp.com/biz/post-lindbergh-atlanta?osq=Apartments
The Reserve at Lenox Park,7,3.5,"1200 Reserve Dr NE Atlanta, GA 30319",0,https://www.yelp.com/biz/the-reserve-at-lenox-park-atlanta?osq=Apartments
The Haynes House,14,3.5,"2420 Peachtree Rd NW Atlanta, GA 30305",0,https://www.yelp.com/biz/the-haynes-house-atlanta-3?osq=Apartments
Morningside Atlanta by Windsor,1,5.0,"1845 Piedmont Ave NE Atlanta, GA 30324",0,https://www.yelp.com/biz/morningside-atlanta-by-windsor-atlanta?osq=Apartments
Gables Midtown by Gables Residential,49,3.0,"1925 Monroe Dr Atlanta, GA 30324",0,https://www.yelp.com/biz/gables-midtown-by-gables-residential-atlanta?osq=Apartments
Modera Buckhead,,0,"3005 Peachtree Rd NE Atlanta, GA 30305",0,https://www.yelp.com/biz/modera-buckhead-atlanta?osq=Apartments
Marquis Midtown West,8,4.5,"1224 Defoor Village Ct NW Atlanta, GA 30318",0,https://www.yelp.com/biz/marquis-midtown-west-atlanta?osq=Apartments
Residences at Chastain,3,5.0,"4011 Roswell Rd Atlanta, GA 30342",0,https://www.yelp.com/biz/residences-at-chastain-atlanta-3?osq=Apartments
2460 Peachtree,9,3.5,"2460 Peachtree Rd NW Atlanta, GA 30305",0,https://www.yelp.com/biz/2460-peachtree-atlanta?osq=Apartments
Post Lindbergh,5,3.5,"485 Lindbergh Pl Atlanta, GA 30324",0,https://www.yelp.com/biz/post-lindbergh-atlanta?osq=Apartments
The Reserve at Lenox Park,7,3.5,"1200 Reserve Dr NE Atlanta, GA 30319",0,https://www.yelp.com/biz/the-reserve-at-lenox-park-atlanta?osq=Apartments
The Haynes House,14,3.5,"2420 Peachtree Rd NW Atlanta, GA 30305",0,https://www.yelp.com/biz/the-haynes-house-atlanta-3?osq=Apartments
Gramercy at Buckhead,10,2.5,"3315 Roswell Rd Atlanta, GA 30305",0,https://www.yelp.com/biz/gramercy-at-buckhead-atlanta?osq=Apartments
Gables Midtown by Gables Residential,49,3.0,"1925 Monroe Dr Atlanta, GA 30324",0,https://www.yelp.com/biz/gables-midtown-by-gables-residential-atlanta?osq=Apartments
Modera Buckhead,,0,"3005 Peachtree Rd NE Atlanta, GA 30305",0,https://www.yelp.com/biz/modera-buckhead-atlanta?osq=Apartments
Marquis Midtown West,8,4.5,"1224 Defoor Village Ct NW Atlanta, GA 30318",0,https://www.yelp.com/biz/marquis-midtown-west-atlanta?osq=Apartments
Residences at Chastain,3,5.0,"4011 Roswell Rd Atlanta, GA 30342",0,https://www.yelp.com/biz/residences-at-chastain-atlanta-3?osq=Apartments
2460 Peachtree,9,3.5,"2460 Peachtree Rd NW Atlanta, GA 30305",0,https://www.yelp.com/biz/2460-peachtree-atlanta?osq=Apartments
Post Lindbergh,5,3.5,"485 Lindbergh Pl Atlanta, GA 30324",0,https://www.yelp.com/biz/post-lindbergh-atlanta?osq=Apartments
The Reserve at Lenox Park,7,3.5,"1200 Reserve Dr NE Atlanta, GA 30319",0,https://www.yelp.com/biz/the-reserve-at-lenox-park-atlanta?osq=Apartments
The Haynes House,14,3.5,"2420 Peachtree Rd NW Atlanta, GA 30305",0,https://www.yelp.com/biz/the-haynes-house-atlanta-3?osq=Apartments
Gramercy at Buckhead,10,2.5,"3315 Roswell Rd Atlanta, GA 30305",0,https://www.yelp.com/biz/gramercy-at-buckhead-atlanta?osq=Apartments
Camden Phipps Apartments,37,3.5,"700 Phipps Blvd NE Atlanta, GA 30326",0,https://www.yelp.com/biz/camden-phipps-apartments-atlanta?osq=Apartments
Modera Buckhead,,0,"3005 Peachtree Rd NE Atlanta, GA 30305",0,https://www.yelp.com/biz/modera-buckhead-atlanta?osq=Apartments
Marquis Midtown West,8,4.5,"1224 Defoor Village Ct NW Atlanta, GA 30318",0,https://www.yelp.com/biz/marquis-midtown-west-atlanta?osq=Apartments
Residences at Chastain,3,5.0,"4011 Roswell Rd Atlanta, GA 30342",0,https://www.yelp.com/biz/residences-at-chastain-atlanta-3?osq=Apartments
2460 Peachtree,9,3.5,"2460 Peachtree Rd NW Atlanta, GA 30305",0,https://www.yelp.com/biz/2460-peachtree-atlanta?osq=Apartments
Post Lindbergh,5,3.5,"485 Lindbergh Pl Atlanta, GA 30324",0,https://www.yelp.com/biz/post-lindbergh-atlanta?osq=Apartments
The Reserve at Lenox Park,7,3.5,"1200 Reserve Dr NE Atlanta, GA 30319",0,https://www.yelp.com/biz/the-reserve-at-lenox-park-atlanta?osq=Apartments
The Haynes House,14,3.5,"2420 Peachtree Rd NW Atlanta, GA 30305",0,https://www.yelp.com/biz/the-haynes-house-atlanta-3?osq=Apartments
Gramercy at Buckhead,10,2.5,"3315 Roswell Rd Atlanta, GA 30305",0,https://www.yelp.com/biz/gramercy-at-buckhead-atlanta?osq=Apartments
Camden Phipps Apartments,37,3.5,"700 Phipps Blvd NE Atlanta, GA 30326",0,https://www.yelp.com/biz/camden-phipps-apartments-atlanta?osq=Apartments
Executive Corporate Living,2,5.0,"3460 Kingsboro Rd Atlanta, GA 30326",0,https://www.yelp.com/biz/executive-corporate-living-atlanta?osq=Apartments
Residences at Chastain,3,5.0,"4011 Roswell Rd Atlanta, GA 30342",0,https://www.yelp.com/biz/residences-at-chastain-atlanta-3?osq=Apartments
2460 Peachtree,9,3.5,"2460 Peachtree Rd NW Atlanta, GA 30305",0,https://www.yelp.com/biz/2460-peachtree-atlanta?osq=Apartments
Post Lindbergh,5,3.5,"485 Lindbergh Pl Atlanta, GA 30324",0,https://www.yelp.com/biz/post-lindbergh-atlanta?osq=Apartments
The Reserve at Lenox Park,7,3.5,"1200 Reserve Dr NE Atlanta, GA 30319",0,https://www.yelp.com/biz/the-reserve-at-lenox-park-atlanta?osq=Apartments
The Haynes House,14,3.5,"2420 Peachtree Rd NW Atlanta, GA 30305",0,https://www.yelp.com/biz/the-haynes-house-atlanta-3?osq=Apartments
Gramercy at Buckhead,10,2.5,"3315 Roswell Rd Atlanta, GA 30305",0,https://www.yelp.com/biz/gramercy-at-buckhead-atlanta?osq=Apartments
Camden Phipps Apartments,37,3.5,"700 Phipps Blvd NE Atlanta, GA 30326",0,https://www.yelp.com/biz/camden-phipps-apartments-atlanta?osq=Apartments
